cLabel,cDesc,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
GO:0071363,"cellular response to growth factor stimulus",29,"CPNE3, INSR, MAPK7, ACVR1, ACVR2B, MAP1B, GAS6, MAP2K5, FEZ1, TGFBR1, TWIST1, CIB1, LRP8, CTNNB1, HTRA2, RPS6KB1, LRP2, ACVR2A, PDGFB, ERBB2, ACVR1C, SFRP1, PPP2R5B, SPHK1, ACVRL1, NOS1, SHC1, PLK5, SRD5A1",0.0534981269083745,0.00680123307852964,0.0448263089266727,0.01646,0.065425814863103
GO:0006501,"C-terminal protein lipidation",5,"ATG7, GPLD1, ATG16L1, ATG5, ATG12",0.203880617577499,0.00687542203466618,0.0452086896023736,0.0011,0.00709639830508475
GO:0009190,"cyclic nucleotide biosynthetic process",7,"ADCY7, ADCY2, ADCY4, NPR2, ADCY9, ADCY3, ADCY8",0.114244110387936,0.00688894317750455,0.0452086896023736,0.00188,0.0108832699619772
GO:0043549,"regulation of kinase activity",5,"SLAMF8, LDB1, MCPH1, LDB2, EMP2",0.25422359749271,0.00694585197410658,0.0454841274433431,0.00024,0.00205859154929577
GO:0051457,"maintenance of protein location in nucleus",7,"TOPORS, BCL3, CIZ1, TAF3, SKP1, CHCHD10, ARL2BP",0.22762440011554,0.00699239313959088,0.0455393786432573,2e-05,0.000313917525773196
GO:0098943,"neurotransmitter receptor transport, postsynaptic endosome to lysosome",5,"CACNG8, CACNG7, CACNG4, CACNG3, CACNG2",0.127716234674914,0.00699417525187096,0.0455393786432573,0.00242,0.0133012635379061
GO:0051260,"protein homooligomerization",64,"KCNA2, GLRA3, KCNV2, KCNG3, BLM, SUB1, COMP, RIPOR2, ARC, KCTD4, KCTD10, TMEM70, KCTD15, KCTD12, KCNB2, TP53BP1, KCNC4, KCTD1, PRNP, KCNC1, MPP2, TIFA, KCNA1, KCTD3, KCNC3, KCTD18, BCL10, KCNS2, CHMP2A, KCNA3, TMEM120A, ROM1, KCNG1, KCNB1, PNPT1, KCTD9, KCNC2, CARD9, KCTD21, NACC2, PYCARD, KCND3, PRMT1, KCNV1, CALHM1, ADCY8, ZBTB1, TRIM13, EHD1, CEP57, ATL1, KCNS3, TRMT61B, KCTD8, KCNF1, KCTD16, KCNS1, JMJD6, PRPH2, PEG10, KCNA4, AQP11, KCNA5, TNFAIP1",0.0525670325504405,0.00700237298428696,0.0455393786432573,0.00402,0.0201
GO:0048023,"positive regulation of melanin biosynthetic process",5,"TYRP1, APPL1, CDH3, OPN3, GIPC1",0.178974138402293,0.00701411119332929,0.0455393786432573,0.00172,0.01015
GO:0007029,"endoplasmic reticulum organization",18,"SPTSSB, REEP6, RTN4, CASQ1, ATL1, CAV2, LMAN2L, SEC16A, SEC31A, SEC31B, REEP5, TMEM38A, LRRK2, VAPB, LNPK, TMCC1, TOR1AIP2, TMEM38B",0.136561309922752,0.00703762823684295,0.0455948467684825,0,0
GO:0001569,"branching involved in blood vessel morphogenesis",14,"ACVR1, NRP1, SEMA3E, PLXND1, STK4, VEGFA, RBM15, NOTCH4, SRF, EDN1, EDNRA, LEF1, COL4A1, CTNNB1",0.11223062682947,0.00710923270466779,0.0459609630269924,0.00186,0.010788
