"labels","5HT1a_cumi_hc8_beliveau","5HT1b_p943_hc65_gallezot","5HT2a_cimbi_hc29_beliveau","5HT4_sb20_hc59_beliveau","5HT6_gsk_hc30_radhakrishnan","5HTT_dasb_hc100_beliveau","GABAa-bz_flumazenil_hc16_norgaard","NMDA_ge179_hc29_galovic"
"7Networks_LH_SomMot_36",21.5162963256293,0.563509057053047,35.2202845015701,1.46334645742482,0.285945351477424,4.30686296771854,621.197735045421,5.09835125566951
"7Networks_LH_SomMot_37",17.2812093127341,0.692035254819526,30.6721440156301,1.12167405230658,0.224482532818284,4.07150743334066,599.073783838805,6.26336471224805
"7Networks_LH_DorsAttn_Post_1",38.2756724495659,0.607706078968158,53.458885198425,2.41150165086484,0.430413283799556,4.10351623687184,791.591904797001,6.85781354333971
"7Networks_LH_DorsAttn_Post_2",37.1472558087399,0.677451368627094,56.9537410929734,2.51901673377315,0.484223793524283,3.68095208681281,767.147644455146,6.85061919303772
"7Networks_LH_DorsAttn_Post_3",39.6670833387658,0.879079419062597,62.503039774947,2.74425206357884,0.555930717045464,3.9167688799576,757.883894102797,6.20592434788624
"7Networks_LH_DorsAttn_Post_4",35.2391247135436,0.837620783094528,59.4548505623184,2.50531175643384,0.479668758889271,4.87275068274515,775.192665855447,6.5640390314407
"7Networks_LH_DorsAttn_Post_5",24.0622889324299,0.770871272899038,50.7962296717375,2.12453915008063,0.421874470903056,3.83067729681441,719.767561123366,7.53709042497918
"7Networks_LH_DorsAttn_Post_6",31.1300013336268,0.761632217595289,52.5230067065268,2.2502407063589,0.285789538137841,4.0546855978442,717.721941280073,5.38069449674139
"7Networks_LH_DorsAttn_Post_7",24.3764174173976,0.831613646376701,49.4705971370394,2.09007171622995,0.464197880420128,3.34818327480528,746.859310395398,7.04434942962523
"7Networks_LH_DorsAttn_Post_8",28.3535456220612,0.777033351173999,46.0558363499532,2.02920053068918,0.40956900690779,4.37279527332947,700.523723053895,6.71397674603003
"7Networks_LH_DorsAttn_Post_9",25.6795065444449,0.636963454491753,52.4703490008479,2.19487883448601,0.325768591669457,3.5735191606957,739.534363163628,6.95483402988612
"7Networks_LH_DorsAttn_Post_10",23.2013152407617,0.828617590663454,46.4510306053555,2.00833151930386,0.461848492191294,3.21702650748577,726.130727143018,6.87956070303342
"7Networks_LH_DorsAttn_Post_11",26.1579215814779,0.714214106752011,43.9503581235697,1.96737767182864,0.366118864004298,4.06876249365754,703.732845547833,6.16398842095729
"7Networks_LH_DorsAttn_Post_12",22.0538621637784,0.75954337927832,42.3501453699813,1.9206967926844,0.39040550621421,3.15933012109628,702.480615304099,5.12141765486835
"7Networks_LH_DorsAttn_Post_13",24.453889651732,0.539610824534043,48.8898637728258,1.99569454975426,0.167926821474022,2.97184447402304,631.366257290546,5.04207472212196
"7Networks_LH_DorsAttn_Post_14",23.8825289835249,0.551501929957279,46.513967099871,1.95214084727424,0.226332787618282,3.00630221060344,630.213335568624,3.97348612729676
"7Networks_LH_DorsAttn_Post_15",26.4705501120929,0.54827380045225,44.2106298124409,1.9838435290611,0.288715808245306,3.28978878613476,633.87532370217,6.1326756219259
"7Networks_LH_DorsAttn_Post_16",25.9765447300722,0.607673022628233,45.2860326845495,1.98784861767499,0.312704074944932,3.24665352628521,656.622783030738,5.75152128111133
"7Networks_LH_DorsAttn_Post_17",26.0465896124025,0.472934526265029,40.9550119440226,1.754248252518,0.221907025562495,3.92417183916239,576.413200046705,5.53499604954482
"7Networks_LH_DorsAttn_FEF_1",27.4875192095402,1.01271705741489,54.0531185991678,1.85718607809847,0.419083120283527,3.62439190889586,729.031816915613,6.49616232379953
"7Networks_LH_DorsAttn_FEF_2",26.6945803786297,0.92860815853943,52.6463176057777,1.93001129919169,0.402063899746573,3.48598386939691,752.841804943587,6.8110231585475
"7Networks_LH_DorsAttn_FEF_3",28.6817236645121,0.848279049581915,56.4961815417652,1.90663429179662,0.333537394203764,3.83759984667872,786.062296036039,6.95798042317457
"7Networks_LH_DorsAttn_FEF_4",27.088581017669,0.809313891387267,53.269433246484,1.88426578691658,0.365842022224501,3.06392265414593,661.117171224728,5.67522377858005
"7Networks_LH_DorsAttn_PrCv_1",32.4865498611775,1.0194775949979,58.1820225167782,2.16981115939769,0.46044940502662,4.1699994168383,771.541084943004,6.39519024234953
"7Networks_LH_DorsAttn_PrCv_2",30.4783264669955,1.09133079033509,57.5920358402938,2.0693536902353,0.453947469474979,3.97148474438399,698.706184295837,5.87832025785331
"7Networks_LH_SalVentAttn_ParOper_1",35.1425068817437,0.899028049176659,56.3733175795188,2.57253421648183,0.478940350327317,4.77071744618512,815.797451828353,6.83925370606335
"7Networks_LH_SalVentAttn_ParOper_2",35.566563912292,0.999495854746588,61.4327117435968,2.67976416106248,0.511269084200748,4.1763453611094,775.282754050064,6.28819887753167
"7Networks_LH_SalVentAttn_ParOper_3",35.8394166320215,0.94210935198463,57.4986519476908,2.57512296725006,0.352838953439584,4.27741661310359,709.919129411144,4.99082507131068
"7Networks_LH_SalVentAttn_ParOper_4",34.7872843963172,0.976263563095403,60.3599586561983,2.67783437362445,0.359441384338309,3.69037005913081,749.546897455023,5.13357417862302
"7Networks_LH_SalVentAttn_TempOcc_1",39.6283689542642,0.864946304525431,64.4455166592045,2.75691044603975,0.494378926485492,4.55998718017833,771.914710044393,6.18315082805794
"7Networks_LH_SalVentAttn_FrOperIns_1",45.2941204944988,0.511760369307664,40.573950882455,2.1995941340988,0.415036557949684,8.04683115427968,666.278910715787,5.98134370085572
"7Networks_LH_SalVentAttn_FrOperIns_2",52.83156264087,0.858610887278164,44.0376949182934,2.28209140613202,0.634746197737643,9.30174678892445,730.980240741805,7.25067889353121
"7Networks_LH_SalVentAttn_FrOperIns_3",39.3718613754392,0.927224777965652,53.7226845406737,2.23502928907959,0.494539029900861,6.7464375483428,937.259997149419,7.63942059764629
"7Networks_LH_SalVentAttn_FrOperIns_4",49.0977514865173,0.687049702273049,49.4428032474136,2.3560509802161,0.595337444547033,9.43381158866919,837.200529550292,6.99589821317894
"7Networks_LH_SalVentAttn_FrOperIns_5",40.9899625017866,0.806873388734225,58.8820334284615,2.32270837617626,0.517493054024012,6.62458170410712,909.549788582517,7.85947448291185
"7Networks_LH_SalVentAttn_FrOperIns_6",45.8267301072561,0.877377859995752,57.731916436546,2.55824924799542,0.668460169312363,7.84652412021467,882.54072479248,7.78997150533331
"7Networks_LH_SalVentAttn_FrOperIns_7",43.2535366231141,1.17107884656375,65.4178393560004,2.52348914212881,0.647713814783318,5.15325235489769,871.514871924815,7.11951818642677
"7Networks_LH_SalVentAttn_FrOperIns_8",40.5383205209605,1.03119992073064,60.876624963013,2.60044442611792,0.583348174742369,5.47401015048875,832.408596120627,6.75575662059793
"7Networks_LH_SalVentAttn_FrOperIns_9",36.191490759805,1.12582917283134,57.9757167994419,2.3584367992722,0.531673679882031,4.38281780314223,843.296229371237,6.4236652642897
"7Networks_LH_SalVentAttn_PFCl_1",33.5022513879733,1.07171972036673,59.6647395932045,2.36246662479759,0.471662408849651,4.39516372647906,769.795732061646,6.08982944044595
"7Networks_LH_SalVentAttn_Med_1",36.4509054442947,1.03592523903801,57.4304183851215,2.31752749000916,0.457000144857627,6.096977980085,857.118428746836,6.70937573554491
"7Networks_LH_SalVentAttn_Med_2",36.833537036186,0.908281820081174,53.8623024811994,2.20813275640105,0.393792530541357,7.26554215009009,794.856228625759,6.39714533512031
"7Networks_LH_SalVentAttn_Med_3",33.9606096758007,0.763441345977406,53.5068127853049,2.29600659349544,0.398345845161927,6.32700815241216,752.890650414639,6.63382698782153
"7Networks_LH_SalVentAttn_Med_4",29.960817185088,1.02029449048322,57.6997939322396,2.04210115045538,0.452254701800654,4.60176235508202,778.47684384741,6.83537934425932
"7Networks_LH_SalVentAttn_Med_5",30.4973536225211,0.73847142133443,52.6217748109603,2.16208460348591,0.458406756504067,4.81706864644331,706.174970556525,6.77531759248311
"7Networks_LH_SalVentAttn_Med_6",28.6291025223939,0.727194147635334,47.7773886058642,2.08860502541065,0.444982669600928,3.91433720303618,742.409117734193,7.08100191641037
"7Networks_LH_SalVentAttn_Med_7",25.9347528145377,0.71100927296496,50.2385063129189,1.78269105516704,0.273615191996516,3.3718277521893,627.794286592924,5.52710173122462
"7Networks_LH_Limbic_OFC_1",40.9362869422529,0.808961319312977,56.3144713584715,2.25924304410732,0.37064447098024,5.76358464665475,743.238845291982,7.07343188610488
"7Networks_LH_Limbic_OFC_2",36.7217088232564,0.780361677090767,56.6404737512774,2.18695931288763,0.371516803948596,6.69395090095102,618.595971090053,7.06239145466524
"7Networks_LH_Limbic_OFC_3",35.0423561292446,0.876846326940186,56.751566821143,2.20253615917671,0.333446558781325,4.14951634100396,693.495729769475,6.57910028104237
"7Networks_LH_Limbic_OFC_4",41.3688352038919,0.825236722150511,50.1842873199247,2.32577503814293,0.352686931321385,6.77149975375657,765.141784718662,6.89739583286771
"7Networks_LH_Limbic_OFC_5",35.5760121625704,0.831018853683324,58.0870541735444,2.30119486551636,0.279950728851675,4.28356291762032,713.343805770022,4.57865536573992
"7Networks_LH_Limbic_TempPole_1",53.3076824718481,0.537311506756887,54.406512931484,2.43917529245137,0.3221289403049,5.04097924914598,499.607002561681,6.97216748146528
