cDesc,cSize,cGenes,k_input_from_cGenes,k_present,k_missing,fraction_present,category_score_z,null_mean_score_z,p_one_sided,tail,p_corrected
retinal cone cell differentiation,7,"THRB, HCN1, DIO3, RORB, THY1, USH1C, TOPORS",7,7,0,1.0,0.13287506997585297,3.486100297322991e-18,0.006099390060993901,two-sided,0.5020180334907686
retinal cone cell development,7,"RORB, USH1C, THRB, DIO3, HCN1, TOPORS, THY1",7,7,0,1.0,0.13287506997585297,3.486100297322991e-18,0.006099390060993901,two-sided,0.5020180334907686
regulation of epinephrine secretion,6,"CRH, ADRA2A, CARTPT, GABBR1, ADRA2C, VIP",6,6,0,1.0,0.1321513056755066,-6.3948846218409015e-18,0.11778822117788221,two-sided,0.5898481380912188
cellular response to glucagon stimulus,12,"ADCY4, GLP2R, ADCY9, ADCY8, ADCY1, ADCY2, ASS1, ADCY7, ADCY3, PRKAR2A, PRKACB, GNAS",12,12,0,1.0,0.13183076679706573,2.6645352591003758e-18,0.0013998600139986002,two-sided,0.5020180334907686
morphogenesis of an epithelial fold,8,"WNT5A, SULF1, SOSTDC1, FGFR2, AR, LUZP1, OVOL2, RDH10",8,8,0,1.0,0.13107061386108398,-2.842170943040401e-18,0.0532946705329467,two-sided,0.5763946253458277
apical protein localization,8,"DLG5, SHROOM2, SHROOM3, ACTB, GOPC, NAPA, HCN1, VANGL2",8,8,0,1.0,0.13080242276191711,-1.0103029524088925e-18,0.005599440055994401,two-sided,0.5020180334907686
glutamate catabolic process,7,"GOT1, GOT2, GLUD1, GLUD2, ADHFE1, GAD2, GAD1",7,7,0,1.0,0.1296197474002838,-3.4416913763379853e-18,0.0150984901509849,two-sided,0.5043758481294728
response to forskolin,7,"ADCY1, ADCY2, AHR, EFNA5, ADCY3, FDX1, ADCY8",7,7,0,1.0,0.12918339669704437,7.105427357601002e-19,0.012898710128987101,two-sided,0.5020180334907686
cellular response to forskolin,7,"FDX1, AHR, ADCY2, ADCY8, ADCY3, ADCY1, EFNA5",7,7,0,1.0,0.12918339669704437,7.105427357601002e-19,0.012898710128987101,two-sided,0.5020180334907686
lactate metabolic process,12,"LDHC, SLC25A12, HAGHL, PNKD, MRS2, LDHA, HAGH, PFKFB2, PER2, LDHD, LDHB, TIGAR",12,12,0,1.0,0.1288294643163681,2.9309887850104133e-18,0.07939206079392061,two-sided,0.5895758749483904
regulation of systemic arterial blood pressure by norepinephrine-epinephrine,6,"ADRB1, ADRA1B, ADRA1D, ADRA1A, TPM1, ADRB2",6,6,0,1.0,0.12854410707950592,-2.4868995751603506e-18,0.04279572042795721,two-sided,0.555752561788789
indole-containing compound metabolic process,7,"KYAT1, PDE1B, HTR1A, SRD5A1, GRIN2A, BTBD9, KYNU",7,7,0,1.0,0.12846578657627106,-2.0872192862952944e-18,0.0112988701129887,two-sided,0.5020180334907686
