cDesc,cSize,cGenes,k_input_from_cGenes,k_present,k_missing,fraction_present,category_score_z,null_mean_score_z,p_one_sided,tail,p_corrected
"CD4-positive, alpha-beta T cell cytokine production",6,"DENND1B, NLRP3, ARID5A, CD81, RSAD2, IL1B",6,6,0,1.0,0.016382746398448944,-3.2862601528904635e-18,0.36476352364763526,two-sided,0.6680735928908673
neurotrophin TRK receptor signaling pathway,15,"NTRK2, CASP3, TMEM108, BDNF, PPP2R5B, SORT1, SORCS3, NTRK3, WASF1, SOS1, NDN, AKT1S1, SPRY1, BCAR1, CYFIP1",15,15,0,1.0,0.01637917011976242,-2.7755575615628914e-19,0.40135986401359863,two-sided,0.6827581195368836
cardiac muscle cell proliferation,23,"CITED2, GJA1, GLI1, MEF2C, ZFPM2, TENM4, NRG1, SMAD1, ARID2, FGFR2, RBP4, MAPK11, FGF2, SAV1, FOXC1, MAPK1, MEIS1, JARID2, PIM1, KCNK2, NDRG4, FGF9, CCNB1",23,23,0,1.0,0.01637418568134308,7.882583474838612e-19,0.16978302169783022,two-sided,0.5996924117112099
histone phosphorylation,19,"PRKCB, PRKCD, RPS6KA4, PPP4R2, CCNB1, TWIST1, DCAF1, JAK2, CDK5, NEK11, IL1B, PRKAA2, ZMPSTE24, MST1, CDK9, DRD1, PRKCA, UBE2B, MAPK3",19,19,0,1.0,0.0163680762052536,-8.215650382226159e-19,0.30446955304469553,two-sided,0.6383478414336217
pituitary gland development,19,"FGF2, SIX3, ISL1, SRD5A1, SOX3, DRD2, INHBB, PCSK1, WNT4, HES1, TBX19, ADCYAP1, POU3F2, NR0B1, PAX6, GLI1, MSX1, WNT5A, CDH1",19,18,1,0.9473684210526315,0.01635529287159443,2.4202861936828413e-18,0.40285971402859716,two-sided,0.683179753929507
membrane lipid biosynthetic process,74,"SPHK1, PIGP, HACD1, GAL3ST4, SPTSSA, B3GALT4, GAL3ST1, B4GALT6, B3GNT5, PIGL, PEMT, ST8SIA1, PGAP1, B4GALT5, GBA, LARGE1, SMPD3, TNF, DEGS1, PIGX, PRKD1, ST6GALNAC6, SAMD8, AGK, B4GALT4, PIGT, ST8SIA5, PRKCD, SPTSSB, B3GALT2, ELOVL7, ST3GAL5, VAPA, VAPB, PPM1L, PGAP3, ST8SIA4, ASAH2B, FA2H, ST3GAL1, B4GALT3, PLPP3, CERS4, FUT9, SPHK2, PIGC, SCCPDH, ELOVL4, ST3GAL4, DPM3, HACD2, ST3GAL2, SGPP2, UGT8, HACD4, SPTLC1, DPM2, PIGF, ASAH1, SPNS2, PIGK, CERS1, PLPP1, PIGV, ASAH2, ST3GAL3, NSMAF, MPPE1, SIRT3, ST6GALNAC5, ELOVL1, PIGQ, CERS6, ST8SIA3",74,74,0,1.0,0.016349786892533302,7.105427357601002e-19,0.28287171282871715,two-sided,0.6326043451992828
lipid homeostasis,69,"LIPC, ADORA1, SIRT1, XBP1, SOAT1, APOE, ABCA5, ATP13A2, DGAT2, SURF4, MALL, DDX3X, PRKAA2, NR1H3, PNPLA3, NFE2L1, LDLR, CEBPA, GRAMD1B, ANGPTL4, HMGCR, LCAT, TSKU, TMEM97, SAR1B, COMMD9, GOT1, FBXW7, HDAC9, ABCG4, NUS1, EHD1, APOM, MTTP, CNBP, SLC25A27, FABP3, USF1, LPL, NR1D1, LAMTOR1, AKR1C1, PPARG, LDLRAP1, RALY, ABCG1, RCN3, ASGR2, TTC39B, RBP1, ACOX3, CD24, CYP7B1, TLCD2, C1QTNF3, NR1D2, USF2, PNPLA4, MED13, FITM2, TREM2, GPIHBP1, ABCA1, RORA, NR1H2, NPC2, RTN4, ACOX2, FUNDC2",69,69,0,1.0,0.016336923465132713,8.1601392309949e-19,0.21507849215078492,two-sided,0.6142252962203779
regulation of cellular response to growth factor stimulus,135,"WFIKKN1, BAMBI, PRDM16, LTBP4, SMAD6, STUB1, FGFBP3, VWC2L, UBA52, SMAD9, SMAD1, TRIM33, TMEM108, CASK, FGF2, SLC2A10, VWC2, SMAD3, SOSTDC1, FBXL15, NPNT, SULF1, SFRP1, SKIL, TOB1, FAM89B, PPP2R5B, ZBTB7A, SPART, WFIKKN2, ING2, NTRK3, ZNF423, GOT1, SDCBP, GLG1, CD63, C20orf27, SNX25, SIRT1, FOXD1, UBE2D1, UBE2O, FGF18, DCN, PIN1, RUNX2, XBP1, FERMT1, SOX11, DMD, HES5, ACVR2B, APLN, PRKCB, WNT4, DAB2, MT3, HSP90AB1, FKBP1A, HES1, CADM4, SMAD2, MSX1, ADGRA2, IL1B, CCBE1, HHEX, SPRED1, FOLR1, SORL1, NRXN1, LRP2, ONECUT1, MTMR4, GRB10, TGFBR1, ITGA8, GREM2, ROBO1, FSTL1, CHST11, CTNNB1, WASF1, LEMD3, SMOC2, RPS27A, ADAMTSL2, RGMA, ACVRL1, DKK3, DOK5, CFLAR, IL17RD, CNMD, GIPC1, CIDEA, RASL11B, VASN, NUMA1, FGFR1, HSPA1A, SKI, CRIM1, FZD4, PPARG, PEG10, JCAD, ATP2B4, CDKN1C, SULF2, PCSK6, TGFBR3L, CYFIP1, ACVR2A, FZD1, PIK3CB, CITED2, ILK, STRAP, LDLRAD4, SPRY4, CAV2, VEGFC, NREP, FBN1, SPRY1, CHRDL1, RNF165, CHRD, FGF9, WNT5A, PMEPA1, ONECUT2, TMEM204",135,135,0,1.0,0.016316164284944534,-1.6653345369377347e-20,0.3023697630236976,two-sided,0.6374135919741359
autonomic nervous system development,25,"HES1, RET, TBX1, KIF26A, SEMA3A, ACKR3, FZD3, SOX11, NAV2, EDNRA, EDNRB, NRP2, PLXNA4, SOX4, ASCL1, PLXNA3, PHACTR4, NRP1, ARX, SOX8, EGR2, INSM1, CTNNB1, FN1, TLX2",25,25,0,1.0,0.016310911625623703,-5.440092820663267e-19,0.36506349365063495,two-sided,0.6680735928908673
erythrocyte maturation,9,"FAM210B, ZBTB7A, FLVCR1, L3MBTL3, BRD1, KLF2, MAEA, ERCC2, PTBP3",9,9,0,1.0,0.016308294609189034,-9.992007221626408e-19,0.33356664333566644,two-sided,0.6559134197579233
positive regulation of peptidase activity,95,"APAF1, JAK2, PYCARD, CASP8AP2, FIS1, SENP1, PDCD5, ACVR1C, SYK, MAP3K5, DLC1, PCOLCE2, AIM2, TRADD, AIFM1, CARD9, ST20, CLDN4, PSENEN, CCK, PIDD1, TNFRSF10B, BID, FAS, CRADD, BCL2L11, GRAMD4, KHDC1L, HSPE1, BBC3, IFT57, ROBO1, GSN, CDKN2A, CYCS, DDRGK1, BAD, CFLAR, LAPTM5, HMGB1, DDX3X, GRN, NDUFA13, BEX3, ARRB1, CTSH, CASP10, PMAIP1, GPER1, NLRP3, PRELID1, MBP, MTCH1, ROCK2, DNAJA3, RFPL1, APH1A, HTRA2, CTSD, RET, RPS3, RCN3, MYC, SNCA, GRIN2A, SIRT1, PSME2, RIPK2, PSME3, PINK1, VCP, BCL10, SMAD3, NKX3-1, NCSTN, AKIRIN2, DIABLO, KHDC1, FAM162A, EPHA4, APH1B, TNF, BAK1, CLPX, BCAP31, PSME1, PERP, FN1, CASP1, LYN, TANK, FOXL2, GRIN2B, DAP, PPARG",95,95,0,1.0,0.01629987359046936,6.661338147750939e-19,0.29527047295270475,two-sided,0.6359227262268257
amino sugar catabolic process,8,"CHI3L1, NAGK, NPL, OVGP1, CTBS, GNPDA2, MGAT1, ALDH1A1",8,8,0,1.0,0.016294103115797043,5.551115123125783e-19,0.28927107289271076,two-sided,0.635446270871068
positive regulation of cyclin-dependent protein kinase activity,16,"CCNT1, CCND1, CCNYL1, PIM1, STOX1, CCND3, CCNB1, CDC6, PDGFB, PROX1, CDKN1B, CKS1B, HSP90AB1, CCNY, PKD2, PKD1",16,16,0,1.0,0.016280369833111763,5.190292640122607e-19,0.0565943405659434,two-sided,0.5763946253458277
metaphase/anaphase transition of mitotic cell cycle,23,"BUB3, MAD2L2, CENPF, PSMG2, DUSP1, DYNC1LI1, CDC27, RB1, CCNB1, TPR, ANAPC11, ANAPC15, ZWINT, MAD1L1, ANAPC4, LCMT1, ZWILCH, TACC3, SPDL1, CDC16, GEN1, CDT1, CUL3",23,23,0,1.0,0.016271689906716347,-2.4424906541753445e-19,0.19258074192580743,two-sided,0.6007011207438532
endoderm development,37,"NANOG, MMP14, LAMC1, LAMB1, MESP1, LAMA3, SMAD2, ONECUT1, SMAD3, INHBA, ARC, ITGAV, COL11A1, DUSP1, CTR9, CTNNB1, MMP15, LAMB3, COL5A2, COL6A1, KIF16B, LDB1, ZFP36L1, SOX17, ITGB2, HSBP1, COL7A1, COL5A1, DUSP4, ITGA7, FN1, ITGB5, EPB41L5, DUSP2, COL12A1, EXT1, LEO1",37,37,0,1.0,0.016263997182250023,6.217248937900877e-19,0.1972802719728027,two-sided,0.6052147219926906
aging,173,"ATG7, ELAVL4, GNRH1, ASS1, ILK, TWIST1, PNPT1, CDK6, RPN2, NUDT1, IL15, NUAK1, CITED2, CTC1, NQO1, FOS, VASH1, SOD2, ZMIZ1, GCLM, TIMP1, PPP1R9A, HTRA2, AMH, CTNNA1, LITAF, ZMPSTE24, DNMT3A, IDE, RAD54B, MIF, ITGB2, ENDOG, IRAK1, ATP2B1, CALR, DCN, BAK1, SMC6, B2M, BCL2A1, RPS6KB1, SIRT1, JUN, ENO3, FOXG1, NAPEPLD, UCP3, MAPK1, PRELP, SMC5, TFRC, MAPK10, HTR2A, EDNRA, YBX1, FADS1, PTH1R, PAWR, CDKN1C, POLB, NEK4, MBD2, SIRT3, FGF2, MAP2K4, SERP1, ARNTL, ULK3, ATP8A2, CDKN1B, LOXL2, ATP5F1A, PRMT6, YPEL3, DNAJA3, PLA2R1, SRR, ADRA1A, EDNRB, RNF165, KAT6A, ACE, ERCC2, PDCD4, TIMP2, SERPINF1, LRRK2, PTGS2, HLA-G, SOD1, MBP, MAPK11, HMGCR, KRT83, CHEK2, MAP3K3, GFRA1, SREBF1, DLD, LONP1, MAP2K1, LMNA, PENK, APAF1, MAPK3, EIF2B5, PRNP, CTSC, PRDM2, SLC30A10, ADM, MAP2K3, HRAS, DMD, KYNU, ERCC1, MAP2K7, RWDD1, MSH2, CTSV, CRYAB, ROMO1, PLK2, KRAS, SNCA, CISD2, PPARGC1A, EEF2, MAP3K5, KCNMB1, SRF, MNT, PRKCD, IGFBP2, SEC63, ING2, NPY5R, CDKN2A, EDN1, CNR1, NPY, ID2, C1QA, GPX4, IGFBP5, NEK6, COMP, INHBB, ARG2, BECN1, TSPO, BBC3, SERPING1, NAMPT, CD68, GLRX2, PPP1R9B, ZNF277, GNA12, GBA, KRT14, FZR1, GSN, PPP3CA, GSS, RGN, CANX, GRM5, OGG1, BCL2, MAP2K6, INPP5D",173,173,0,1.0,0.016252102330327034,-1.4210854715202004e-18,0.26817318268173185,two-sided,0.630387941597997
icosanoid transport,24,"SYK, ANXA1, ACE, ATP5PF, SLCO2A1, SLCO3A1, EDN1, NOS2, BDKRB2, MIF, DRD2, MAP2K6, PROCA1, PLA2R1, P2RX4, PLA2G4A, PLA2G5, ABCC6, TNFRSF11A, PTGES, NTSR1, ABCC1, IL1B, ACSL4",24,24,0,1.0,0.01623787172138691,-8.881784197001253e-20,0.3257674232576742,two-sided,0.6495349100833436
fatty acid derivative transport,24,"MAP2K6, PROCA1, SYK, TNFRSF11A, SLCO3A1, PLA2R1, EDN1, NOS2, IL1B, ABCC6, ANXA1, ATP5PF, PTGES, PLA2G4A, ACSL4, ABCC1, MIF, PLA2G5, BDKRB2, P2RX4, NTSR1, ACE, DRD2, SLCO2A1",24,24,0,1.0,0.01623787172138691,-8.881784197001253e-20,0.3257674232576742,two-sided,0.6495349100833436
myeloid leukocyte cytokine production,17,"HMOX1, DDX1, RTN4, BCL10, HLA-G, DHX36, SPON2, LAPTM5, CD74, KIT, TICAM1, PLCG2, WNT5A, SEMA7A, TLR4, SIRT1, NR4A3",17,17,0,1.0,0.01621966063976288,-1.5987211554602254e-18,0.29317068293170684,two-sided,0.635446270871068
regulation of response to endoplasmic reticulum stress,44,"UBQLN2, ATF6B, NR1H2, AQP11, PTPN2, COPS5, BCAP31, NUPR1, PIK3R1, YOD1, BAK1, BCL2L11, ATF6, DDRGK1, ABCA7, UBE2J1, EDEM1, SERINC3, LPCAT3, NR1H3, UFL1, CREBRF, BRSK2, SIRT1, WFS1, RNFT2, PPP1R15B, PMAIP1, ALOX5, CREB3, LRRK2, NCK1, HSPA1A, DERL2, HERPUD1, XBP1, BBC3, SGTA, MANF, NCK2, SVIP, ATXN3, CLU, USP13",44,44,0,1.0,0.016193030402064323,4.996003610813204e-19,0.20357964203579643,two-sided,0.6068978007859591
tetrahydrofolate interconversion,6,"MTHFD2L, MTHFD2, MTHFD1, SHMT2, FTCD, SHMT1",6,6,0,1.0,0.01618337631225586,9.103828801926284e-19,0.29817018298170184,two-sided,0.6373319523623506
regulation of stress-activated MAPK cascade,109,"MINK1, TLR3, ZNF622, PRDX1, FOXO1, SEMA4C, SEMA3A, MAP3K13, TREM2, RASSF2, STK39, STK25, EPHB1, SYK, MAPK3, MAP3K21, GADD45B, FAS, SPAG9, SDCBP, MAP3K3, MYC, DBNL, CARD9, PER1, MAP2K1, PDCD4, MAP2K7, ANKRD6, RASGRP1, FLT4, TLR4, DUSP3, SFRP1, TNIK, FZD4, OPRK1, HGF, MAP3K9, PAFAH1B1, TIAM1, NBR1, MID1, DUSP1, COPS5, HRAS, RIPK2, TPD52L1, SH3RF1, EMC10, SPHK1, IL1B, MAGI3, MAP3K20, TF, WNT7A, MAP2K4, GADD45A, GRIK2, KLHDC10, FZD10, VEGFA, HMGB1, WNT7B, CDC42, PINK1, FZD7, DTNBP1, TIRAP, RAPGEF1, MECOM, FZD8, MAP2K2, FKTN, DACT1, RELL1, MAP3K5, MAP3K6, GSTP1, EZR, TNF, HMGCR, MAPK8IP1, NPPA, IGFBP6, WNT5A, DNAJA1, EPHA4, EDN1, SIRPA, TRAF5, DAXX, PLCB1, DLG1, MAP3K10, PRMT1, PYCARD, MAP4K2, RPS3, MFHAS1, DVL2, DIXDC1, DUSP22, MDFIC, TRAF3, TNFRSF11A, PAK1, RELL2, MAPK1",109,109,0,1.0,0.01617654412984848,5.218048215738236e-19,0.2625737426257374,two-sided,0.6282746214340135
energy homeostasis,20,"FOXO1, SUV39H1, MRAP2, SGIP1, MFSD2A, PPARGC1A, LEPR, CRTC3, PRCP, METRNL, PASK, NMU, NR1D2, PIK3CA, NR4A3, PRKAA2, OMA1, TSKU, ALK, SIRT1",20,20,0,1.0,0.01616860181093216,-1.1990408665951691e-18,0.2733726627337266,two-sided,0.630387941597997
midbrain development,48,"WNT3, DLG5, KDM2B, SEC16A, FZD3, MSX1, ATP5PB, NR4A2, CALM1, MAOB, SMAD1, FGF2, GNB4, FZD1, INA, WNT5A, UCHL1, PLP1, SYNGR3, YWHAQ, LDHA, GLUD1, TAL2, YWHAH, CALM3, SOS1, MBP, FZD6, FGFR2, BASP1, CALM2, UQCRQ, RYK, ENO3, MAG, CCDC14, ATP5PF, SIRT2, KDM7A, CTNNB1, WLS, DYNLL1, ACTB, ZNF148, NDUFS3, HES1, CDC42, FGF9",48,48,0,1.0,0.01605566218495369,1.7541523789077475e-18,0.3374662533746625,two-sided,0.6576578536424468
protein insertion into membrane,40,"EMC2, BID, BCL2L11, EMC7, YWHAH, EMC6, CCDC47, E2F1, SERP1, TFDP2, HMOX1, YWHAB, EMC3, OXA1L, PPP3CC, TP53BP2, STX1A, OTOF, PMAIP1, SEC61B, VAPA, EMC4, CYB5A, RTP1, GET4, YWHAQ, TFDP1, BAD, CAMLG, TRAM2, BCL2, EMC10, YWHAZ, NMT1, BBC3, PRNP, PPP3R1, SEC61G, SGTA, YWHAG",40,40,0,1.0,0.016055133193731308,-8.881784197001253e-19,0.37266273372662734,two-sided,0.6709536006670352
neural crest cell migration,35,"RET, ANXA6, EDNRB, CDC42, TWIST1, SEMA3E, RADIL, EFNB1, SEMA3D, EDN1, ACVR1, FOLR1, SEMA4A, EDNRA, SEMA6D, FN1, SEMA7A, EDN3, OVOL2, TBX1, SEMA3C, ISL1, PHACTR4, SEMA6B, SEMA4F, NRP1, SOX8, SEMA4D, SEMA5A, SEMA4C, SMO, KITLG, SEMA5B, SEMA3A, NRP2",35,34,1,0.9714285714285714,0.01605008915066719,-1.1324274851176598e-18,0.33786621337866213,two-sided,0.6576578536424468
meiosis I,41,"SLX4, RAD51C, RMI1, TERF1, SYCE1, BCL2L11, SIRT7, MND1, REC8, TDRD9, ING2, ZCWPW1, PTTG1, CCNE1, FMN2, STAG3, ERCC4, AGO4, CCNA1, CENPX, ERCC1, CORT, CENPS, PTTG2, RAD54B, SYCP2, RNF212, EHMT2, MEI1, CCNB1IP1, UBR2, MEIKIN, RAD51D, MYBL1, SUN1, DMRTC2, NDC1, SGO2, CENPC, UBE2B, KLHDC3",41,41,0,1.0,0.01603277586400509,1.6653345369377347e-18,0.2755724427557244,two-sided,0.6312499184864122
cellular response to testosterone stimulus,9,"MSN, AR, RWDD1, SPP1, ROCK2, MYC, ELK1, SIRT1, SRD5A1",9,9,0,1.0,0.016025757417082787,2.9309887850104133e-18,0.40855914408559146,two-sided,0.6868069297637889
positive regulation of protein complex assembly,144,"MECP2, WASF1, MED13, GSN, DDB2, TAF13, TAF2, MAPRE1, TAF10, BID, GTF2A1, SUB1, STUB1, MED16, ICE1, CDKN1B, SCIN, TRIM27, ARPC2, MPP7, WNT10B, NPHS1, ERCC1, RPA2, BAIAP2L2, ERCC4, JUN, TENM1, TRABD2A, PDE4DIP, CDC42EP4, FES, GTF2A2, HSPA1A, CUL4B, CLIP1, SPIDR, TAF11, ARPC3, NAV3, SNCA, TAF5, WASHC1, BBC3, PLCG2, ARL3, CLU, DLG1, FMN2, DHX36, CYFIP1, NCKAP1, EVL, CDT1, CORO1A, TAF3, WHAMMP3, SLAIN2, CDC42EP2, DHX33, PINK1, TIRAP, TWIST1, PICK1, NUMA1, PSMC2, RAC1, CDC42EP3, SPIRE2, DDX3X, PAXIP1, ARF1, GIT1, TLR4, P2RY12, NRG1, CTNNA2, MAGEL2, FERMT1, ARPC1B, PARP1, SH3GLB1, ASAP1, PSMC3, ARPC4, BAIAP2, RAP1B, MED24, MSN, SRF, BRK1, PFN1, FNIP2, CARMIL1, PPP2R5B, MET, VCP, SLAIN1, BAK1, PAK1, MLST8, PYCARD, LCP1, RPS3, MAP1B, TNF, UNC13B, CUL4A, GMFB, ISG15, SNX9, GTF2H5, FMN1, NCK2, CHD1L, BCL2L11, ARPC5, WASHC2C, VILL, SYK, SLF1, CEBPA, FCHSD2, JMY, SKAP1, WASF3, HCK, DDB1, TAF4B, VEGFA, ERCC2, GMFG, RASIP1, RICTOR, FERMT2, TPPP3, TFRC, RHOC, CCK, MED14, MITF, HRK, PFN2, NCK1",144,142,2,0.9861111111111112,0.015957443043589592,-6.88338275267597e-19,0.2772722727727227,two-sided,0.6314506064002092
regulation of epithelial cell differentiation,66,"PAX6, CDKN1B, CLOCK, ASCL1, FRZB, KEAP1, ROCK2, VCL, MAFG, PLCB1, ROCK1, ZFP36L1, CDKN1C, NOTCH4, MESP1, PRKCH, ERRFI1, PTCH1, CLDN5, STAT1, NUMA1, VEGFA, ADD1, HES5, AHI1, ACVRL1, KDF1, TMEM100, IKBKB, S1PR2, ARNTL, AJAP1, FOXO1, BAD, SMO, APOLD1, WNT10B, IL1B, CTSV, NCOA3, HES1, TNF, CTSL, BTG1, CBFB, FOXC1, KLF7, MAFF, FGF2, NKX6-3, CCND1, RHEB, RFX3, CTNNB1, PAX8, ZDHHC21, OVOL2, SPRY1, CTSK, BMP6, NFE2L1, CEBPB, CD24, SPRED1, LIF, KIAA1109",66,66,0,1.0,0.01592893712222576,6.827871601444713e-19,0.22347765223477653,two-sided,0.6190061588084459
regulation of muscle cell apoptotic process,38,"SOD2, RGL2, PDCD4, EDN1, NACA, E2F3, CDKN2A, MDK, ADCYAP1, MAP2K4, SIRT4, CFLAR, PPARG, PPP1R10, STK4, NUPR1, HMGCR, ARRB1, NRG1, TIGAR, HMOX1, SIRT1, JAK2, CAMK2D, ILK, BNIP3, IGF1, HSPB6, NOL3, BAG3, CAMK2A, PAX8, MFN2, PDE1A, SIRT5, LTK, MAP3K5, ATF4",38,38,0,1.0,0.0158975999802351,-6.88338275267597e-19,0.1551844815518448,two-sided,0.5983663610594671
negative regulation of inflammatory response,112,"GRN, NLRP3, NPY, HTR4, GPR27, CD247, SOD1, FOXF1, TYRO3, LILRB4, VIPR1, GPR83, C1QTNF12, ADCY4, PTHLH, MAPK7, SLAMF8, GNAS, NDFIP1, AOAH, ADRB2, FCGR2A, BCR, HLA-DRB1, GPR176, TNFAIP8L2, PTH1R, DRD1, ADCY7, HTR7, FCGR3A, POMC, VIPR2, VIP, RB1, ADCY2, PTGIS, FGR, FFAR4, ADCYAP1, RPS19, APOE, NLRX1, PPARD, RABGEF1, GBA, ASH1L, NR1D1, PPARG, HRH2, METRNL, PTPN2, GPER1, ADCY3, ADCY1, ADRB1, C1QTNF3, PRKACB, SERPINF1, SYK, SOCS5, HCK, GGT1, CHID1, PDCD4, ADORA2B, NPY5R, SMAD3, GPR20, ABCD2, RXFP1, PTGER4, CD163, MC1R, RORA, TEK, RAMP3, PRKAR2A, MVK, NR1H3, GPR150, PLCG2, VPS35, MKRN2, TREM2, ADCY9, EPHB2, NR1D2, WFDC1, LPCAT3, LRFN5, ALOX5, PRKCD, ADORA1, RHBDF2, FNDC4, PYCARD, ISL1, LYN, ADCYAP1R1, NFKB1, GSTP1, GNG2, CRH, HGF, GGT5, ADCY8, SIRPA, GLP2R, MFHAS1, PLK2, ADM",112,111,1,0.9910714285714286,0.015878986567258835,1.5543122344752192e-18,0.291970802919708,two-sided,0.635446270871068
cerebral cortex cell migration,29,"POU3F2, ADGRG1, RTN4, NDEL1, MBOAT7, NRP1, PAFAH1B1, FOXG1, MDGA1, CTNNB1, DAB1, SUN1, FGF13, CDK5, LAMB1, DIXDC1, ROBO1, POU3F3, SRGAP2, GLI3, NR2E1, P2RY12, SEMA3A, ARX, ZMIZ1, LRP8, RELN, SUN2, NRP2",29,29,0,1.0,0.015848156064748764,1.6431300764452318e-18,0.35126487351264873,two-sided,0.6641314523140183
regulation of interleukin-6 production,64,"TICAM1, LILRB4, AQP4, POU2F2, RABGEF1, CARD9, IL1B, SPON2, IL33, CD84, TREM2, SYK, TMEM106A, KLF2, POU2AF1, C1QTNF3, RIPK2, HAVCR2, IFIH1, TLR3, GBA, LPL, C1QTNF4, HLA-B, IL17RA, HGF, PLCG2, HMGB1, SIRPA, INPP5D, AKIRIN2, BCL10, TYROBP, GAS6, MAPK13, TLR2, SPHK2, SOCS5, TWIST1, AIF1, ADORA2B, MBP, TIRAP, IL1RAP, CEBPB, RAB7B, TLR4, NLRX1, AFAP1L2, MAPKAPK2, CD200, ARRB1, IL17D, ADCYAP1, CD74, ARID5A, PYCARD, NOS2, ISL1, XBP1, IL6R, WNT5A, DHX9, TNF",64,63,1,0.984375,0.01583608239889145,-6.4392935428259075e-19,0.27687231276872315,two-sided,0.6312775118743976
short-chain fatty acid metabolic process,8,"ACSS2, MMAA, TYRP1, PCCA, THNSL2, PHYH, PCCB, PCK2",8,8,0,1.0,0.015819549560546875,-9.769962616701378e-19,0.31886811318868113,two-sided,0.6448097948825807
regulation of extrinsic apoptotic signaling pathway via death domain receptors,17,"CFLAR, HGF, FAS, HMOX1, SKIL, DDX3X, SFRP1, TMC8, STK4, FAIM2, TNFRSF10B, FAIM, HMGB2, PEA15, BRCA1, TRADD, PMAIP1",17,17,0,1.0,0.015813959762454033,-4.4408920985006264e-20,0.3254674532546745,two-sided,0.6493797719204188
positive regulation of glycogen metabolic process,9,"PPP1R3E, DYRK2, INSR, EPM2AIP1, HMGB1, SORBS1, ESRRB, IGF1, IRS1",9,9,0,1.0,0.015808159485459328,1.5099033134902128e-18,0.30356964303569645,two-sided,0.6383311345357197
transmembrane receptor protein serine/threonine kinase signaling pathway,159,"FAM89B, XBP1, GOT1, LEF1, SKI, KIAA0319, CITED2, PTPRK, IL17RD, GIPC1, CDKN1C, RBM14, SOSTDC1, PPARG, SOX11, CHRDL1, HIVEP1, TGFBRAP1, PARD6A, LTBP4, ADAMTSL2, SUB1, FSTL1, SFRP1, FERMT1, NREP, IGSF1, PDCD4, UBE2D1, HSP90AB1, SLC2A10, FNTA, STRAP, SKIL, GDF10, ITGA8, ZMIZ1, FGF9, JUN, CGN, OVOL2, SULF1, DUSP22, VWC2L, ITGB5, RNF165, LNPEP, SPART, VWC2, ACVR1, WNT5A, MSX1, NUMA1, LEMD3, SORL1, ZBTB7A, RGMA, VASN, PXN, TOB1, FBXL15, BTBD11, SMAD1, SMPD3, CAV2, SDCBP, UBE2O, SNX25, SPRY1, PPM1L, LRP2, ADAM9, ACVR1C, CHRD, PARP1, CHST11, MAPK3, LRRC32, COL1A2, ZYX, WFIKKN1, APPL1, PARD3, FOLR1, ITGB8, DDX5, COMP, DAB2, CIDEA, ZNF8, DACT2, ZNF423, USP9Y, HPGD, ONECUT2, ING2, DKK3, MTMR4, C20orf27, SIRT1, ARHGEF18, AMH, RASL11B, PEG10, PMEPA1, ACVR2A, SMAD2, HES5, TGFBR3L, CRIM1, TF, ONECUT1, EXT1, SPRED1, FZD1, SLC33A1, ACVR2B, WFIKKN2, FOXD1, ACVRL1, SCX, RGMB, SMAD9, UBA52, NCEH1, LEFTY1, FBN1, FOS, LDLRAD4, RUNX2, BMP6, ZFYVE9, SMAD6, CLDN5, FERMT2, INHBB, GLG1, TMEM100, PIN1, HSPA1A, RPS27A, PCSK6, BAMBI, FKBP1A, BMP8B, JAK2, INHBA, EGR1, ILK, TGFBR1, HES1, NLK, NPNT, GREM2, PRDM16, STUB1, SMAD3, USP9X, TRIM33",159,159,0,1.0,0.015789877623319626,-8.604228440844963e-19,0.24047595240475952,two-sided,0.6232376323963394
cellular response to leukemia inhibitory factor,51,"GCLM, B3GNT2, GLDC, TFRC, GFPT2, CTBP2, PRDM5, ARID5B, SOX17, BSPRY, NFYB, RNMT, NUP35, MTF2, EFHC2, HELLS, MRPL15, MRAS, SSTR1, PARP16, VEGFC, SHMT1, MYNN, ABCG4, NEFH, JARID2, PAX6, KDM3A, SYNGR1, DTX1, HK2, SLC25A5, INA, ADAM23, RNF138, SNX10, KDM5B, CTH, SPRY4, PMM1, MCF2, NRP2, FZD4, RIF1, TLE4, SPOCK2, PFKP, PCOLCE2, SRM, SIRT1, ABCD4",51,51,0,1.0,0.01578509993851185,6.4392935428259075e-19,0.3233676632336766,two-sided,0.6470711097037938
leukocyte adhesion to vascular endothelial cell,25,"GOLPH3, ITGB1, SELPLG, ADD2, MDK, ZDHHC21, IRAK1, GCNT1, ALOX5, EXT1, ITGB7, SLC39A8, ITGB2, ROCK1, CHST2, CX3CR1, CXCL12, NFAT5, PODXL2, CCL28, ST3GAL4, TNF, FUT9, JAM2, MADCAM1",25,25,0,1.0,0.01578093133866787,-1.1435297153639113e-18,0.24767523247675233,two-sided,0.6240988832151267
